,game_utilities,total_nodes,final_hands,avg_depth,players_names
73,[26.9352518  27.39568345  2.76258993  6.90647482],"[297190, 286252, 12, 110]","[21, 22, 6, 15]","[5.166666666666667, 3.6666666666666665, 0.0, 0.0]","['paranoid_player', 'suboptimal_player', 'random_player', 'weak_player']"
74,[ 3.22302158 39.25179856 19.22302158  2.30215827],"[217027, 227721, 166390, 12]","[7, 29, 23, 5]","[5.666666666666667, 5.416666666666667, 3.8333333333333335, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'optimal_player', 'random_player']"
75,[12.31654676 21.98561151  8.74820144 20.94964029],"[230625, 297095, 221460, 245242]","[8, 29, 19, 8]","[5.833333333333333, 5.583333333333333, 3.8333333333333335, 4.0]","['bounded_paranoid_player', 'paranoid_player', 'optimal_player', 'suboptimal_player']"
76,[12.77697842 38.79136691  5.0647482   7.36690647],"[12, 227733, 218239, 279491]","[9, 28, 11, 16]","[0.0, 5.0, 3.75, 5.25]","['random_player', 'paranoid_player', 'suboptimal_player', 'bounded_paranoid_player']"
77,[32.34532374  4.14388489 16.         11.51079137],"[117, 12, 200261, 205791]","[14, 9, 16, 25]","[0.0, 0.0, 5.666666666666667, 3.75]","['weak_player', 'random_player', 'bounded_paranoid_player', 'optimal_player']"
78,[23.36690647  1.84172662  4.14388489 34.64748201],"[237812, 12, 235747, 101]","[32, 4, 9, 19]","[4.0, 0.0, 3.9166666666666665, 0.0]","['optimal_player', 'random_player', 'suboptimal_player', 'weak_player']"
79,[ 4.14388489  5.52517986 37.41007194 16.92086331],"[275899, 211144, 114, 216507]","[9, 12, 25, 18]","[4.0, 4.916666666666667, 0.0, 3.8333333333333335]","['optimal_player', 'paranoid_player', 'weak_player', 'suboptimal_player']"
80,[13.69784173 26.9352518   7.82733813 15.53956835],"[200442, 152880, 182948, 301919]","[11, 21, 17, 15]","[5.416666666666667, 3.5833333333333335, 3.5, 5.083333333333333]","['bounded_paranoid_player', 'suboptimal_player', 'optimal_player', 'paranoid_player']"
81,[10.47482014 34.76258993 17.38129496  1.38129496],"[286656, 145075, 175747, 12]","[4, 38, 19, 3]","[5.416666666666667, 3.6666666666666665, 3.6666666666666665, 0.0]","['paranoid_player', 'optimal_player', 'suboptimal_player', 'random_player']"
82,[16.          1.38129496 23.71223022 22.90647482],"[154259, 12, 218943, 219873]","[16, 3, 14, 31]","[3.6666666666666665, 0.0, 3.5833333333333335, 4.833333333333333]","['suboptimal_player', 'random_player', 'optimal_player', 'paranoid_player']"
83,[24.63309353 22.44604317  4.14388489 12.77697842],"[119, 273656, 12, 261376]","[16, 30, 9, 9]","[0.0, 5.75, 0.0, 4.25]","['weak_player', 'bounded_paranoid_player', 'random_player', 'suboptimal_player']"
84,[15.53956835 16.46043165 27.85611511  4.14388489],"[192064, 334677, 275955, 12]","[15, 17, 23, 9]","[3.9166666666666665, 6.5, 3.9166666666666665, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'random_player']"
85,[45.69784173  3.22302158 12.77697842  2.30215827],"[167253, 205405, 12, 195510]","[43, 7, 9, 5]","[6.25, 6.333333333333333, 0.0, 4.75]","['paranoid_player', 'bounded_paranoid_player', 'random_player', 'suboptimal_player']"
86,[15.53956835  3.68345324  6.44604317 38.33093525],"[316036, 12, 191373, 222273]","[15, 8, 14, 27]","[5.5, 0.0, 3.5, 5.5]","['paranoid_player', 'random_player', 'optimal_player', 'bounded_paranoid_player']"
87,[31.53956835 20.14388489  3.22302158  9.09352518],"[185320, 217743, 194273, 12]","[31, 25, 7, 1]","[3.75, 6.0, 5.333333333333333, 0.0]","['optimal_player', 'bounded_paranoid_player', 'paranoid_player', 'random_player']"
88,[11.85611511 29.69784173 20.60431655  1.84172662],"[270443, 296842, 176916, 12]","[7, 27, 26, 4]","[5.75, 5.666666666666667, 3.6666666666666665, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'optimal_player', 'random_player']"
89,[ 2.30215827 31.07913669  2.30215827 28.31654676],"[81, 253069, 12, 264034]","[5, 30, 5, 24]","[0.0, 5.833333333333333, 0.0, 5.25]","['weak_player', 'bounded_paranoid_player', 'random_player', 'paranoid_player']"
90,[13.23741007  7.82733813 15.07913669 27.85611511],"[143309, 232629, 100, 269180]","[10, 17, 14, 23]","[3.8333333333333335, 5.333333333333333, 0.0, 5.666666666666667]","['optimal_player', 'paranoid_player', 'weak_player', 'bounded_paranoid_player']"
91,[ 4.14388489 13.69784173 23.82733813 22.33093525],"[211912, 12, 277936, 95]","[9, 11, 33, 11]","[5.75, 0.0, 5.666666666666667, 0.0]","['paranoid_player', 'random_player', 'bounded_paranoid_player', 'weak_player']"
92,[11.39568345  1.38129496 16.92086331 34.30215827],"[97, 179337, 265622, 191701]","[6, 3, 18, 37]","[0.0, 3.75, 5.666666666666667, 5.0]","['weak_player', 'optimal_player', 'bounded_paranoid_player', 'paranoid_player']"
93,[ 7.36690647  5.52517986 25.09352518 26.01438849],"[231483, 12, 321768, 114]","[16, 12, 17, 19]","[4.25, 0.0, 6.083333333333333, 0.0]","['optimal_player', 'random_player', 'bounded_paranoid_player', 'weak_player']"
94,[22.33093525  3.22302158  3.22302158 35.22302158],"[128, 12, 215007, 190843]","[11, 7, 7, 39]","[0.0, 0.0, 5.416666666666667, 3.5]","['weak_player', 'random_player', 'bounded_paranoid_player', 'optimal_player']"
95,[ 4.60431655 28.77697842 26.47482014  4.14388489],"[12, 109, 274034, 189654]","[10, 25, 20, 9]","[0.0, 0.0, 3.8333333333333335, 5.416666666666667]","['random_player', 'weak_player', 'optimal_player', 'bounded_paranoid_player']"
