,game_utilities,total_nodes,final_hands,avg_depth,players_names
42,[30.61870504 15.53956835 16.46043165  1.38129496],"[144430, 97, 93175, 12]","[29, 15, 17, 3]","[3.5833333333333335, 0.0, 3.5, 0.0]","['optimal_player', 'weak_player', 'suboptimal_player', 'random_player']"
43,[ 1.84172662 37.8705036   3.22302158 21.0647482 ],"[12, 109230, 113349, 54080]","[4, 26, 7, 27]","[0.0, 3.4166666666666665, 3.4166666666666665, 5.166666666666667]","['random_player', 'optimal_player', 'suboptimal_player', 'paranoid_player']"
44,[21.0647482   1.84172662  0.         41.09352518],"[114631, 69, 82733, 69030]","[27, 4, 0, 33]","[3.9166666666666665, 0.0, 3.75, 5.5]","['optimal_player', 'weak_player', 'suboptimal_player', 'paranoid_player']"
45,[12.31654676 15.07913669  9.66906475 26.9352518 ],"[12, 67948, 87043, 122]","[8, 14, 21, 21]","[0.0, 5.666666666666667, 3.4166666666666665, 0.0]","['random_player', 'bounded_paranoid_player', 'suboptimal_player', 'weak_player']"
46,[14.61870504  5.98561151 26.9352518  16.46043165],"[87874, 12, 145, 77392]","[13, 13, 21, 17]","[3.4166666666666665, 0.0, 0.0, 5.666666666666667]","['suboptimal_player', 'random_player', 'weak_player', 'bounded_paranoid_player']"
47,[ 5.98561151 42.01438849  4.60431655 11.39568345],"[106535, 89091, 141390, 12]","[13, 35, 10, 6]","[4.083333333333333, 7.083333333333333, 4.333333333333333, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'random_player']"
48,[44.31654676  5.52517986  2.30215827 11.85611511],"[110071, 86634, 12, 111800]","[40, 12, 5, 7]","[6.583333333333333, 6.0, 0.0, 3.4166666666666665]","['bounded_paranoid_player', 'paranoid_player', 'random_player', 'optimal_player']"
49,[ 3.68345324 25.55395683  2.30215827 32.46043165],"[12, 98607, 108271, 75493]","[8, 18, 5, 33]","[0.0, 3.6666666666666665, 6.0, 5.5]","['random_player', 'optimal_player', 'bounded_paranoid_player', 'paranoid_player']"
50,[26.9352518   8.74820144  9.55395683 18.76258993],"[117778, 95176, 51, 83686]","[21, 19, 2, 22]","[3.6666666666666665, 3.75, 0.0, 5.75]","['optimal_player', 'suboptimal_player', 'weak_player', 'bounded_paranoid_player']"
51,[ 2.30215827 31.07913669 25.09352518  5.52517986],"[67244, 97454, 88566, 74650]","[5, 30, 17, 12]","[3.0, 5.5, 5.083333333333333, 2.8333333333333335]","['suboptimal_player', 'bounded_paranoid_player', 'paranoid_player', 'optimal_player']"
52,[14.15827338 40.63309353  8.74820144  0.46043165],"[117606, 116, 93292, 12]","[12, 32, 19, 1]","[6.083333333333333, 0.0, 3.5, 0.0]","['bounded_paranoid_player', 'weak_player', 'optimal_player', 'random_player']"
53,[25.09352518  4.14388489 11.39568345 23.36690647],"[88, 90813, 115243, 96916]","[17, 9, 6, 32]","[0.0, 3.5833333333333335, 3.6666666666666665, 5.916666666666667]","['weak_player', 'optimal_player', 'suboptimal_player', 'bounded_paranoid_player']"
54,[13.23741007  3.68345324 16.46043165 30.61870504],"[139075, 132287, 120157, 97121]","[10, 8, 17, 29]","[6.166666666666667, 3.6666666666666665, 3.4166666666666665, 5.333333333333333]","['bounded_paranoid_player', 'suboptimal_player', 'optimal_player', 'paranoid_player']"
55,[16.92086331 40.17266187  4.14388489  2.76258993],"[132139, 69350, 12, 93]","[18, 31, 9, 6]","[6.416666666666667, 5.75, 0.0, 0.0]","['bounded_paranoid_player', 'paranoid_player', 'random_player', 'weak_player']"
56,[13.23741007 26.47482014 17.38129496  6.90647482],"[12, 79274, 98634, 64270]","[10, 20, 19, 15]","[0.0, 5.916666666666667, 3.5, 5.5]","['random_player', 'bounded_paranoid_player', 'suboptimal_player', 'paranoid_player']"
57,[18.76258993 26.01438849 18.76258993  0.46043165],"[88476, 77240, 114, 12]","[22, 19, 22, 1]","[3.5833333333333335, 3.5833333333333335, 0.0, 0.0]","['suboptimal_player', 'optimal_player', 'weak_player', 'random_player']"
58,[17.84172662  3.22302158 11.85611511 31.07913669],"[116, 80967, 12, 97979]","[20, 7, 7, 30]","[0.0, 3.75, 0.0, 5.75]","['weak_player', 'optimal_player', 'random_player', 'paranoid_player']"
59,[ 6.44604317 14.61870504 28.77697842 14.15827338],"[90756, 108, 74140, 87839]","[14, 13, 25, 12]","[3.4166666666666665, 0.0, 5.666666666666667, 3.25]","['optimal_player', 'weak_player', 'bounded_paranoid_player', 'suboptimal_player']"
60,[19.22302158 13.69784173 30.15827338  0.92086331],"[122510, 108, 114391, 12]","[23, 11, 28, 2]","[3.4166666666666665, 0.0, 3.4166666666666665, 0.0]","['optimal_player', 'weak_player', 'suboptimal_player', 'random_player']"
61,[ 1.84172662  2.30215827 35.22302158 24.63309353],"[116038, 87225, 67079, 93]","[4, 5, 39, 16]","[3.4166666666666665, 5.583333333333333, 3.0, 0.0]","['suboptimal_player', 'bounded_paranoid_player', 'optimal_player', 'weak_player']"
62,[15.53956835 19.22302158  2.76258993 26.47482014],"[94347, 128, 81684, 77483]","[15, 23, 6, 20]","[3.0833333333333335, 0.0, 3.0833333333333335, 5.25]","['suboptimal_player', 'weak_player', 'optimal_player', 'bounded_paranoid_player']"
63,[ 3.22302158 39.71223022 15.07913669  5.98561151],"[12, 96, 88958, 78787]","[7, 30, 14, 13]","[0.0, 0.0, 5.666666666666667, 3.4166666666666665]","['random_player', 'weak_player', 'paranoid_player', 'suboptimal_player']"
64,[ 1.84172662 13.69784173 29.69784173 18.76258993],"[12, 88377, 65925, 101160]","[4, 11, 27, 22]","[0.0, 5.333333333333333, 3.0, 5.583333333333333]","['random_player', 'paranoid_player', 'suboptimal_player', 'bounded_paranoid_player']"
65,[15.53956835  0.46043165 19.22302158 28.77697842],"[117332, 12, 93625, 88984]","[15, 1, 23, 25]","[3.5, 0.0, 5.5, 5.75]","['suboptimal_player', 'random_player', 'paranoid_player', 'bounded_paranoid_player']"
66,[39.25179856 13.23741007  8.74820144  2.76258993],"[76062, 79026, 91723, 89]","[29, 10, 19, 6]","[5.75, 3.5, 5.833333333333333, 0.0]","['paranoid_player', 'optimal_player', 'bounded_paranoid_player', 'weak_player']"
